tmdb_id,title,transition,before_rating,after_rating,before_reasons,after_reasons
176,"Saw",ENTER_NEW_MOVIE,,7.428,"NOT_IN_CATALOG",""
686,"Contact",ENTER_NEW_MOVIE,,7.448,"NOT_IN_CATALOG",""
288987,"That Malicious Age",ENTER_NEW_MOVIE,,6.426,"NOT_IN_CATALOG",""
390062,"Jungle",ENTER_NEW_MOVIE,,6.686,"NOT_IN_CATALOG",""
913290,"Barbarian",ENTER_NEW_MOVIE,,6.875,"NOT_IN_CATALOG",""
1124142,"The Rivals of Amziah King",ENTER_NEW_MOVIE,,8.5,"NOT_IN_CATALOG",""
1235877,"Jana Nayagan",ENTER_NEW_MOVIE,,5.5,"NOT_IN_CATALOG",""
1339588,"Finding Emily",ENTER_NEW_MOVIE,,6.9,"NOT_IN_CATALOG",""
1440050,"The Breadwinner",ENTER_NEW_MOVIE,,7.574,"NOT_IN_CATALOG",""
